trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
146,24:28:00,24:28:00,70062,6,,0,0,21733.69455401,1
146,24:33:00,24:33:00,70082,7,,0,0,26054.12325917,1
146,24:36:00,24:36:00,70092,8,,0,0,28363.63117281,1
146,24:40:00,24:40:00,70102,9,,0,0,30512.62329786,1
146,24:43:00,24:43:00,70112,10,,0,0,31879.50093918,1
146,24:47:00,24:47:00,70122,11,,0,0,35212.82110523,1
146,24:50:00,24:50:00,70132,12,,0,0,37207.99317525,1
146,24:54:00,24:54:00,70142,13,,0,0,40700.61129692,1
146,25:00:00,25:00:00,70162,14,,0,0,46301.17800911,1
146,25:04:00,25:04:00,70172,15,,0,0,48312.56032380,1
146,25:07:00,25:07:00,70192,16,,0,0,50860.83022858,1
